"388","Macapá","0","0","0.00","AP"
"389","Salvador","0","0","0.00","BA"
"390","Fortaleza","0","0","0.00","CE"
"391","Brasília","0","0","0.00","DF"
"392","Vitória","0","0","0.00","ES"
"393","São Luís","0","0","0.00","MA"
"394","Belo Horizonte","0","0","0.00","MG"
"395","Campo Grande","0","0","0.00","MS"
"396","Cuiabá","0","0","0.00","MT"
"397","Belém","0","0","0.00","PA"
"398","João Pessoa","0","0","0.00","PB"
"399","Recife","0","0","0.00","PE"
"400","Teresina","0","0","0.00","PI"
"401","Curitiba","0","0","0.00","PR"
"402","Rio de Janeiro","0","0","0.00","RJ"
"403","Natal","0","0","0.00","RN"
"404","Porto Velho","0","0","0.00","RO"
"405","Boa Vista","0","0","0.00","RR"
"406","Porto Alegre","0","0","0.00","RS"
"407","Florianópolis","0","0","0.00","SC"
"408","Aracaju","0","0","0.00","SE"
"409","São Paulo","0","0","0.00","SP"
"410","Balsas","0","0","0.00","MA"
"411","Loreto","0","0","0.00","MA"
"412","Ourilândia do Norte","0","0","0.00","PA"
"413","Estreito","0","0","0.00","MA"
"414","Ji-Paraná","0","0","0.00","RO"
"415","Monção","0","0","0.00","MA"
"416","Apiacas","0","0","0.00","MT"
"417","São Félix do Araguaia","0","0","0.00","MT"
"418","Uberaba","0","0","0.00","MG"
"419","Grajaú","0","0","0.00","MA"
"420","Iramaia","46770000","46770000","0.00","BA"
"421","Pimenta Bueno","0","0","0.00","RO"
"422","Arapiraca","0","0","0.00","AL"
"423","São Julião","0","0","0.00","PI"
"424","Alegrete do Piauí","0","0","0.00","PI"
"425","Pimenteiras","0","0","0.00","PI"
"426","Mirador","0","0","0.00","MA"
"427","São Félix do Xingu","0","0","0.00","PA"
"428","Angical",,,"0.00","BA"
"429","Araguari",,,"0.00","MG"
"430","Curionópolis",,,"0.00","PA"
"431","Osasco",,,"0.00","SP"
"432","Santa Inês",,,"0.00","MA"
"433","Aparecida do Taboado",,,"0.00","MS"
"434","Campinas",NULL,NULL,"0.00","SP"
"435","Porto de Noz",NULL,NULL,"0.00","PA"
"436","Capanema",NULL,NULL,"0.00","PA"
"437","Franca",NULL,NULL,"0.00","SP"
"438","Presidente Dutra",NULL,NULL,"0.00","MA"
"440","Santa Helena ",NULL,NULL,"0.00","MA"
"441","Açu",NULL,NULL,"0.00","PA"
"442","Barão de Grajaú",NULL,NULL,"0.00","MA"
